Question Number,Memory Type,Question,Ground Truth,AI Response,Response Length,Contains Error,Timestamp
1,Manual Entry,Who went camping?,Jake,"Hey Emma! According to the knowledge graph, Jake went camping in Yosemite. He had an amazing time, hiking to a waterfall and experiencing breathtaking views. He also shared a memorable encounter with a bear near their campsite. 🏕️",230,False,2025-08-05T20:20:08.452014
2,Manual Entry,What does Emma like to eat?,Burritos with hot sauce,"Hey Emma! According to the knowledge graph, you seem to enjoy spicy food, as you mentioned grabbing a burrito with extra hot sauce to spice up your Monday. 🌶️ You also have a fondness for popcorn and donuts, as you considered having them while watching a movie. Sounds like you have a taste for both spicy and sweet treats!",323,False,2025-08-05T20:20:22.679849
3,Manual Entry,Which TV show did the group discuss?,Galactic Heist Chronicles,"Hey Emma! According to the knowledge graph, the group discussed ""The show,"" which was mentioned as getting better and being a treat. However, the specific name of the TV show isn't detailed in the knowledge graph. If you have more context or another way to refer to it, feel free to ask! 😊",289,False,2025-08-05T20:20:33.559402
4,Manual Entry,Who encountered a bear during a camping trip?,Jake,"Hey Emma! According to the knowledge graph, Jake encountered a bear during a camping trip in Yosemite. He shared that the bear was sniffing around their food stash near the campsite, which gave him quite a fright, but they managed to scare it off by making loud noises. 🐻🏕️",273,False,2025-08-05T20:20:46.434261
5,Manual Entry,What is Ryan’s opinion on country music?,He dislikes country music or anything twangy,"Hey Emma! According to the knowledge graph, Ryan is not a fan of country music. He mentioned that he can't stand it or anything too twangy, and he prefers rock and metal with screaming guitars over banjos. 🎸",207,False,2025-08-05T20:20:58.182880
6,Manual Entry,What dessert was Sarah tempted by during lunch?,Chocolate donut,"Hey Emma! According to the knowledge graph, Sarah was tempted by a chocolate donut for dessert during lunch. 🍩",110,False,2025-08-05T20:21:09.024994
7,Manual Entry,Which musical genres does Chloe enjoy?,"""Indie and folk, and some pop""","Hey Emma! According to the knowledge graph, Chloe hasn't specifically mentioned her favorite musical genres in past conversations. If you have more context or another way to refer to her musical preferences, feel free to ask! 😊",227,False,2025-08-05T20:21:19.027609
8,Manual Entry,Who was nervous about a presentation in London?,Chloe,"Hey Emma! According to the knowledge graph, Chloe was nervous about a presentation she had to give in London. She was presenting her project at a conference and shared her concerns about speaking in front of a big audience. 😊",225,False,2025-08-05T20:21:33.269755
9,Manual Entry,Who brought a guitar to the group picnic?,Jake,"Hey Emma! According to the knowledge graph, Jake mentioned that he would bring his guitar to the group picnic at Riverside Park for some music. 🎸",145,False,2025-08-05T20:21:45.573740
10,Manual Entry,Why was Sarah hesitant about going to the amusement park?,She is terrified of heights,"Hey Emma! According to the knowledge graph, Sarah was hesitant about going to the amusement park because she has a phobia of heights. This was also evident when she reacted with emphatic fear and humor when bungee jumping was suggested. 😊",238,False,2025-08-05T20:21:58.106399
