Question Number,Memory Type,Question,Ground Truth,AI Response,Accuracy Score,Is Correct,Response Length,Contains Error,Timestamp
1,Manual Entry,Who went camping?,Jake,Jake went camping at Yosemite with his brother.,0.9,True,47,False,2025-08-15T06:13:43.581221
2,Manual Entry,What does Emma like to eat?,Burritos with hot sauce,"Emma likes to eat burritos, especially with extra hot sauce. She also considers consuming donuts and popcorn.",0.6,False,109,False,2025-08-15T06:14:24.778984
3,Manual Entry,Who encountered a bear during a camping trip?,Jake,Jake encountered a bear during his camping trip at Yosemite.,0.9,True,60,False,2025-08-15T06:14:35.663660
4,Manual Entry,What is Ryan’s opinion on country music?,He dislikes country music or anything twangy,Ryan dislikes country music and country songs.,0.4,False,46,False,2025-08-15T06:14:45.484834
5,Manual Entry,What dessert was Sarah tempted by during lunch?,Chocolate donut,Sarah was tempted by a chocolate donut during lunch.,0.9,True,52,False,2025-08-15T06:15:01.681548
6,Manual Entry,Who was nervous about a presentation in London?,Chloe,Chloe was nervous about a presentation in London.,0.9,True,49,False,2025-08-15T06:15:14.306672
7,Manual Entry,Who brought a guitar to the group picnic?,Jake,Jake brought a guitar to the group picnic.,0.9,True,42,False,2025-08-15T06:15:27.861041
8,Manual Entry,Why was Sarah hesitant about going to the amusement park?,She is terrified of heights,Sarah was hesitant about going to the amusement park because she has a fear of heights and prefers manageable excitement.,0.6,False,121,False,2025-08-15T06:15:39.068205
9,Manual Entry,What food item did Emma claim she needs to wake up?,Spicy food / hot sauce,Emma claimed that she needs spicy food to wake up.,0.4,False,50,False,2025-08-15T06:15:48.968216
10,Manual Entry,Who advised Chloe to use humor in her presentation?,Ryan,Ryan advised Chloe to use humor in her presentation.,0.9,True,52,False,2025-08-15T06:15:58.477681
11,Manual Entry,What kind of vacation did Ryan suggest for Emma?,A relaxing beach vacation,"Ryan suggested a no-stress vacation for Emma, recommending somewhere relaxing like a beach.",0.8,True,91,False,2025-08-15T06:16:10.812390
12,Manual Entry,Who offered to bring dessert to the picnic?,Sarah,Sarah offered to bring dessert to the picnic.,0.9,True,45,False,2025-08-15T06:16:21.355333
13,Manual Entry,What role did Ryan play in helping Chloe calm her nerves?,He suggested opening with a joke to ease the tension,Ryan played a supportive role in helping Chloe calm her nerves by advising her to use humor in her presentation. He suggested that cracking a little joke could help ease the tension and calm both Chloe and her audience.,0.8,True,219,False,2025-08-15T06:16:31.893595
14,Manual Entry,What did Chloe plan to buy as gifts for her friends in London?,Keychains and English tea,Chloe planned to buy cute keychains and a variety of items as gifts for her friends in London.,0.6,False,94,False,2025-08-15T06:16:47.708017
15,Manual Entry,Who fell asleep while watching 'The Galactic Heist'?,Sarah,Sarah fell asleep while watching 'The Galactic Heist'.,0.9,True,54,False,2025-08-15T06:17:15.770650
16,Manual Entry,Who likes jazz music occasionally?,Sarah,Sarah enjoys jazz music occasionally.,0.9,True,37,False,2025-08-15T06:17:27.964710
17,Manual Entry,Which park did the group decide to visit for the picnic?,Riverside Park,The group decided to visit Riverside Park for the picnic.,0.9,True,57,False,2025-08-15T06:17:42.699311
18,Manual Entry,What did Jake say about his ears after the Metallica concert?,His ears rang for two days,Jake said that his ears rang for two days after the Metallica tribute concert.,0.9,True,78,False,2025-08-15T06:17:53.457679
19,Manual Entry,What’s Chloe’s opinion about the weather in London?,A bit dreary,Chloe finds the weather in London to be dreary.,0.0,False,47,False,2025-08-15T06:18:10.710064
20,Manual Entry,What food did Chloe enjoy in London?,Fish and chips,Chloe enjoyed fish and chips in London.,0.9,True,39,False,2025-08-15T06:18:23.114222
21,Manual Entry,Who missed the picnic due to traveling?,Chloe,Chloe missed the picnic due to traveling.,0.9,True,41,False,2025-08-15T06:18:34.780704
22,Manual Entry,Who made a joke about being cheered on by their showerhead?,Jake,Jake made a joke about being cheered on by his showerhead.,0.9,True,58,False,2025-08-15T06:18:47.613462
23,Manual Entry,Which activity did the group plan for Friday night?,Karaoke,The group planned to participate in Friday night karaoke.,0.9,True,57,False,2025-08-15T06:18:58.108515
24,Manual Entry,Who suggested Riverside Park for the picnic?,Chloe,Chloe suggested visiting Riverside Park for the picnic.,0.9,True,55,False,2025-08-15T06:19:39.978457
25,Manual Entry,Who said they might do sightseeing to distract themselves from work?,Chloe,Chloe said she might do sightseeing to distract herself from work.,0.9,True,66,False,2025-08-15T06:20:07.732860
26,Manual Entry,Who described their playlist as chaotic?,Emma,Emma described her playlist as chaotic.,0.9,True,39,False,2025-08-15T06:20:25.439414
27,Manual Entry,Who said variety is the spice of life?,Sarah,"Sarah said, ""Variety is the spice of life.""",0.9,True,43,False,2025-08-15T06:20:35.749589
28,Manual Entry,Who planned to watch the Galactic Heist episode after dinner?,Sarah,Sarah planned to watch the Galactic Heist episode after dinner.,0.9,True,63,False,2025-08-15T06:20:47.165838
29,Manual Entry,Who comforted Chloe by saying she’s the expert on stage?,Emma,Emma comforted Chloe by saying she's the expert on stage.,0.9,True,57,False,2025-08-15T06:20:55.842796
30,Manual Entry,Who expressed missing Chloe and her laugh?,Sarah,Sarah expressed missing Chloe and her laugh.,0.9,True,44,False,2025-08-15T06:21:07.101830
31,Manual Entry,Who offered to bring snacks to the picnic?,Ryan,Ryan offered to bring snacks to the picnic.,0.9,True,43,False,2025-08-15T06:21:31.209007
32,Manual Entry,Who reassured Chloe after her presentation by calling her a rockstar?,Jake,Jake reassured Chloe after her presentation by calling her a rockstar.,0.9,True,70,False,2025-08-15T06:21:40.750566
33,Manual Entry,Who felt relieved after using a joke during a talk?,Chloe,Chloe felt relieved after using a joke during her talk.,0.9,True,55,False,2025-08-15T06:21:57.531442
34,Manual Entry,Who called Chloe’s city visit touristy?,Chloe herself,Sarah called Chloe’s city visit touristy.,0.0,False,41,False,2025-08-15T06:22:12.326030
35,Manual Entry,What did Emma say she became one with during the weekend?,Her couch,Emma said she became one with her couch during the weekend.,0.9,True,59,False,2025-08-15T06:22:32.407680
36,Manual Entry,Who offered to save cookies for Chloe?,Sarah,Sarah offered to save cookies for Chloe.,0.9,True,40,False,2025-08-15T06:22:47.704923
37,Manual Entry,Who suggested everyone meet at SingStar Karaoke?,Emma,Emma suggested everyone meet at SingStar Karaoke.,0.9,True,49,False,2025-08-15T06:23:07.836290
38,Manual Entry,Who said their salad was to offset weekend junk food?,Ryan,Ryan said his salad was to offset the junk food he consumed over the weekend.,0.9,True,77,False,2025-08-15T06:23:19.127380
39,Manual Entry,Who confessed to craving sweets because of Sarah?,Ryan,Ryan confessed to craving sweets because of Sarah.,0.9,True,50,False,2025-08-15T06:23:34.577959
40,Manual Entry,Who declared spicy food wakes them up?,Emma,Emma declared that spicy food wakes her up.,0.9,True,43,False,2025-08-15T06:23:50.518307
